
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5132    0.048    0.000    0.180    0.000 ops.py:1401(_recompute_node_def)
    24818    0.048    0.000    0.048    0.000 policy.py:18(metrics_names)
    22523    0.048    0.000    0.048    0.000 :0(ceil)
    10566    0.048    0.000    0.224    0.000 ops.py:1207(<genexpr>)
1436/1398    0.044    0.000    0.264    0.000 tensor_util.py:577(_ConstantValue)
     2086    0.044    0.000    0.092    0.000 tensor_shape.py:110(merge_with)
     3973    0.044    0.000    0.284    0.000 ops.py:725(internal_convert_n_to_tensor)
    15536    0.044    0.000    0.044    0.000 ops.py:2004(_check_not_finalized)
      904    0.044    0.000    0.052    0.000 utils.py:32(findSourceAndTarget)
      968    0.044    0.000    0.132    0.000 _methods.py:53(_mean)
        2    0.040    0.020    6.120    3.060 gradients_impl.py:390(gradients)
     6965    0.040    0.000    0.040    0.000 :0(FromString)
     2240    0.040    0.000    0.084    0.000 fromnumeric.py:2388(prod)
    12565    0.040    0.000    0.124    0.000 ops.py:572(_TensorTensorConversionFunction)
    35331    0.040    0.000    0.040    0.000 dtypes.py:82(_is_ref_dtype)
    24013    0.036    0.000    0.036    0.000 callbacks.py:84(on_action_end)
     4899    0.036    0.000    0.124    0.000 op_def_library.py:173(_MakeType)
     6742    0.036    0.000    0.036    0.000 :0(startswith)
     6223    0.036    0.000    0.088    0.000 tensor_shape.py:803(unknown_shape)
    26363    0.036    0.000    0.036    0.000 ops.py:1414(outputs)
     6800    0.036    0.000    0.072    0.000 ops.py:428(_add_consumer)
     5846    0.032    0.000    0.400    0.000 ops.py:382(set_shape)
     5936    0.032    0.000    0.268    0.000 :0(all)
    20132    0.032    0.000    0.032    0.000 ops.py:1283(_id)
     1608    0.032    0.000    0.072    0.000 topology.py:1855(reset_states)
     6246    0.032    0.000    0.044    0.000 ops.py:1426(__iter__)
     4695    0.032    0.000    0.068    0.000 ops.py:3839(_assert_same_graph)
     9658    0.032    0.000    0.056    0.000 ops.py:1442(inputs)
     3826    0.028    0.000    0.076    0.000 op_def_library.py:84(_Flatten)
     5060    0.028    0.000    0.044    0.000 ops.py:3198(_control_dependencies_for_inputs)
      900    0.028    0.000    0.144    0.000 tensor_util.py:459(MakeNdarray)
    17758    0.028    0.000    0.028    0.000 ops.py:1477(node_def)
     3828    0.024    0.000    0.024    0.000 :0(values)
     9200    0.024    0.000    0.048    0.000 op_def_library.py:80(_IsListValue)
     9658    0.024    0.000    0.024    0.000 ops.py:1423(__init__)
        2    0.024    0.012    0.068    0.034 gradients_impl.py:146(_PendingCount)
     3815    0.024    0.000    0.040    0.000 op_def_library.py:92(_Restructure)
      212    0.020    0.000    0.024    0.000 memory.py:36(__init__)
     4460    0.020    0.000    0.152    0.000 policy.py:50(select_action)
      806    0.020    0.000    0.092    0.000 dqn.py:200(reset_states)
     5060    0.020    0.000    0.028    0.000 ops.py:3055(_apply_device_functions)
8364/7652    0.020    0.000    0.052    0.000 op_def_library.py:244(_MaybeColocateWith)
     6075    0.020    0.000    0.020    0.000 ops.py:1879(_name_from_scope_name)
     2878    0.020    0.000    0.064    0.000 ops.py:1241(colocation_groups)
      804    0.020    0.000    0.112    0.000 agent_gym.py:30(_reset)
